stationid,lat,lon,name,state,elevation,distance,rating
410390060,44.02611,-123.08361,"Amazon Dog Park, Amazon Path, Woodfield Microhood, College Hill, Eugene, Lane County, Oregon, 97405, United States",Oregon,133.54,84,0.9224699828473414
410391009,44.046670000000006,-123.0175,"E770 Springfield Library, 600, A Street, Springfield, Lane County, Oregon, 97477, United States",Oregon,140.45,89,0.9245283018867925
410392013,43.74417,-122.48028,"76398, Christel Lane, Willamette City, Oakridge, Lane County, Oregon, 97463, United States",Oregon,347.06,136,0.9238421955403088
410399004,43.79944,-123.05334,"Cottage Grove Public Works, 425, North 14th Street, Cottage Grove, Lane County, Oregon, 97424, United States",Oregon,196.16,90,0.9238421955403088
410430009,44.61556,-123.09139,"Calapooia Middle School, 830, 24th Avenue Southeast, Albany, Linn County, Oregon, 97322, United States",Oregon,70.46,73,0.9234991423670669
410432002,44.39556,-122.73028,"1001, Kalmia Street, Sweet Home, Linn County, Oregon, 97386, United States",Oregon,163.99,104,0.9221269296740995
410470041,44.94306,-123.00584,"912, 23rd Street Northeast, Salem, Marion County, Oregon, 97301, United States",Oregon,61.11,80,0.9228130360205832
410610123,45.323330000000006,-118.07777000000002,"1299, North Hall Street, La Grande, Union County, Oregon, 97850, United States",Oregon,842.31,398,0.9193825042881647
410630001,45.42611,-117.29583,"Eagle Cap Ranger Station, Highland Avenue, Enterprise, Wallowa County, Oregon, 97828, United States",Oregon,1166.79,442,0.9176672384219554
410650007,45.60222,-121.20333,"Saint Marys Academy, Cherry Heights Road, The Dalles, Wasco County, Oregon, 95058, United States",Oregon,56.85,187,0.8977701543739279
410670004,45.52833,-122.97222,"Hare Field, Northeast Delsey Road, Downtown Hillsboro, Hillsboro, Washington County, Oregon, 97124, United States",Oregon,55.38,70,0.9241852487135506
410670111,45.470000000000006,-122.81583,"Highland Park Middle School, 7000, Southwest Wilson Avenue, Highland, Beaverton, Washington County, Oregon, 97008, United States",Oregon,78.12,82,0.9210977701543739
